travel_method,event_travel,bus_days,accommodation_type,accommodation_cost,transport_cost,number_events_previously_attended,event_organisation_rating,course_planning_rating,social_programme_rating,quality_rating_livestream,website_info_rating,printed_programme_rating,daily_news_info,facebook_twitter_following,facebook_twitter_rating,residence,local_authority,overnight_stay_location
rail,event bus,6,event campsite (comrie croft),150,150,3,excellent,excellent,good,NA,good,good,some days,yes,good,scotland,scottish borders,stanley near perth
own vehicle,own vehicle,0,guest house / b+b,300,100,6,excellent,excellent,excellent,excellent,excellent,excellent,yes,no,NA,other uk,NA,crieff
hired vehicle,shared private vehicle,1,event campsite (comrie croft),90,100,16,excellent,excellent,good,NA,excellent,excellent,some days,yes,good,other uk,NA,comrie croft campsite
ferry and own vehicle,own vehicle,0,self-catering accommodation,900,100,5,excellent,excellent,excellent,good,good,good,yes,no,NA,other uk,NA,swanlinbar
air,hired vehicle,0,hotel,1100,200,0,excellent,good,not interested in social programme,NA,excellent,excellent,no,no,NA,scotland,south ayrshire,forgandenny
own vehicle,event bus,6,event campsite (comrie croft),420,100,2,excellent,excellent,not interested in social programme,good,excellent,excellent,some days,no,NA,scotland,moray,dunkeld
own vehicle,own vehicle,0,self-catering accommodation,750,200,0,good,excellent,not interested in social programme,excellent,excellent,excellent,yes,no,NA,other uk,NA,juniper green
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA,perth
own vehicle,own vehicle,0,self-catering accommodation,850,40,4,good,average,good,NA,good,average,yes,yes,average,other uk,NA,near killin (in p & k tho')
own vehicle,own vehicle,0,self-catering accommodation,280,200,0,good,good,not interested in social programme,NA,good,good,yes,no,NA,other uk,NA,dunblane
hired vehicle,hired vehicle,0,self-catering accommodation,600,200,22,excellent,good,not interested in social programme,average,good,good,no,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,hotel,100,40,3,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA,comrie
own vehicle,shared private vehicle,0,other camping / caravan site,450,250,1,excellent,excellent,good,NA,excellent,excellent,some days,no,NA,scotland,aberdeenshire,crieff
own vehicle,own vehicle,0,other camping / caravan site,2000,100,14,excellent,excellent,not interested in social programme,NA,excellent,average,some days,no,NA,other uk,NA,kenmore
train to meet rest of part part way,shared private vehicle,0,self-catering accommodation,700,0,10,good,good,not interested in social programme,good,good,good,yes,no,NA,other uk,NA,evesham
own vehicle,own vehicle,0,self-catering accommodation,2000,100,14,good,average,not interested in social programme,NA,average,average,yes,no,NA,other europe,NA,scone
hired vehicle,hired vehicle,0,self-catering accommodation,700,0,10,good,good,good,good,excellent,excellent,yes,no,NA,scotland,highland,st fillans
own vehicle,own vehicle,0,self-catering accommodation,1870,300,13,excellent,good,not interested in social programme,good,excellent,excellent,no,no,NA,other uk,NA,new fowlis
own vehicle,own vehicle,0,self-catering accommodation,800,50,4,excellent,excellent,excellent,NA,good,good,some days,yes,good,other europe,NA,killin
own vehicle,own vehicle,0,other camping / caravan site,900,100,5,good,excellent,excellent,NA,good,excellent,some days,yes,good,other uk,NA,near comrie
own vehicle,own vehicle,0,with friends / relatives,70,6,0,excellent,excellent,excellent,excellent,excellent,good,some days,no,NA,scotland,highland,comrie croft
own vehicle,own vehicle,0,with friends / relatives,90,100,16,excellent,excellent,excellent,excellent,excellent,good,some days,yes,excellent,scotland,east renfrewshire,killin
ferry. stena with own car.,own vehicle,0,other camping / caravan site,1000,1000,2,good,good,not interested in social programme,good,good,good,yes,yes,good,scotland,wnorfolk,crieff
own vehicle,shared private vehicle,0,other camping / caravan site,1500,1000,11,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,good,scotland,south ayrshire,perth
own vehicle,own vehicle,0,self-catering accommodation,580,100,6,good,good,good,good,good,average,yes,no,NA,other europe,NA,lochearnhead
rail,event bus,5,other camping / caravan site,215,50,20,excellent,excellent,average,NA,good,excellent,yes,yes,good,other uk,NA,callendar
own vehicle,own vehicle,0,"mix of camping, at home, and with parents",70,6,0,excellent,excellent,not interested in social programme,good,good,good,some days,no,NA,other uk,NA,lochearnhead
own vehicle,own vehicle,0,self-catering accommodation,2500,1500,2,excellent,good,not interested in social programme,good,excellent,excellent,yes,no,NA,other uk,NA,crieff and ladybank
own vehicle,own vehicle,0,other camping / caravan site,2000,100,14,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,no,NA,other europe,NA,dunkeld
hired vehicle,hired vehicle,0,self-catering accommodation,1500,1000,11,good,good,not interested in social programme,NA,good,good,some days,no,NA,scotland,edinburgh,killin
own vehicle,own vehicle,0,self-catering accommodation,350,60,5,excellent,good,not interested in social programme,NA,excellent,good,no,no,NA,scotland,aberdeenshire,auchterarder
own vehicle,own vehicle,0,guest house / b+b,0,75,7,excellent,good,good,good,good,good,some days,no,NA,other uk,NA,inverness or edinburgh
own vehicle,own vehicle,0,event campsite (comrie croft),900,100,5,average,good,not interested in social programme,NA,good,good,yes,yes,good,other uk,NA,st fillians
own vehicle,own vehicle,0,other camping / caravan site,300,100,6,good,average,not interested in social programme,very poor,good,good,some days,no,NA,scotland,highland,comrie
own vehicle,own vehicle,0,self-catering accommodation,700,0,10,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,scotland,falkirk,crieff
own vehicle,own vehicle,0,hotel,420,100,2,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,no,NA,other uk,NA,doune
own vehicle,own vehicle,0,self-catering accommodation,750,200,0,excellent,excellent,excellent,excellent,excellent,excellent,some days,no,NA,scotland,city of edinburgh,between crieff and perth off a85
own vehicle,own vehicle,0,self-catering accommodation,666.84,100,9,excellent,excellent,not interested in social programme,NA,good,good,some days,no,NA,scotland,stirlingshire,comrie
own vehicle,own vehicle,0,hotel,120,140,6,excellent,excellent,excellent,good,good,good,some days,yes,good,other uk,NA,methven
own vehicle,shared private vehicle,0,with friends / relatives,625,70,15,excellent,good,good,NA,good,excellent,yes,no,NA,scotland,tayside,comrie croft
own vehicle,own vehicle,0,self-catering accommodation,450,250,1,excellent,excellent,excellent,NA,excellent,excellent,no,no,NA,scotland,midlothian,bankfoot
own vehicle,own vehicle,0,self-catering accommodation,1600,200,8,excellent,good,not interested in social programme,good,average,excellent,yes,no,NA,other uk,NA,braco
own vehicle,own vehicle,0,at home,250,150,1,excellent,excellent,very poor,NA,good,good,some days,no,NA,other europe,NA,comrie
own vehicle,shared private vehicle,0,camper van at 2 different locations,200,90,20,excellent,excellent,excellent,NA,excellent,excellent,yes,no,NA,other uk,NA,"butterstone, dunkeld"
own vehicle,own vehicle,0,self-catering accommodation,1000,1000,2,excellent,good,not interested in social programme,good,good,excellent,yes,yes,excellent,other uk,NA,crief
own vehicle,own vehicle,0,self-catering accommodation,500,30,4,good,average,good,NA,good,average,no,no,NA,scotland,perthshire,pitlochry
air,hired vehicle,0,self-catering accommodation,700,0,10,good,good,not interested in social programme,good,good,excellent,yes,yes,good,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,500,30,4,excellent,excellent,not interested in social programme,NA,good,good,some days,no,NA,other uk,NA,comrie croft
own vehicle,own vehicle,0,self-catering accommodation,650,150,14,excellent,excellent,excellent,NA,excellent,excellent,yes,yes,good,other europe,NA,comrie croft
own vehicle,own vehicle,0,at home,1500,1000,11,excellent,excellent,not interested in social programme,good,good,excellent,yes,yes,excellent,other uk,NA,comrie
own vehicle,own vehicle,0,hotel,210,80,5,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,no,NA,scotland,renfrewshire,"crieff x5 nights, dunkeld x 2 nights"
own vehicle,own vehicle (3 days) and bus (3 days),4,guest house / b+b,225,0,10,excellent,good,good,NA,excellent,excellent,yes,no,NA,other uk,NA,monzie
own vehicle,own vehicle,0,self-catering accommodation,700,0,10,excellent,excellent,average,NA,good,good,yes,no,NA,other uk,NA,lochearnhead
hired vehicle,hired vehicle,0,self-catering accommodation,800,50,4,excellent,excellent,excellent,NA,good,excellent,no,no,NA,other uk,NA,kilin
own vehicle,own vehicle,0,at home,10,60,1,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,no,NA,other uk,NA,crieff hydro
own vehicle,own vehicle,0,event campsite (comrie croft),0,75,7,excellent,excellent,good,NA,excellent,excellent,yes,yes,excellent,other uk,NA,perth
own vehicle,own vehicle,0,self-catering accommodation,550,150,4,excellent,good,not interested in social programme,average,good,good,yes,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,3000,720,13,excellent,good,not interested in social programme,good,average,excellent,yes,no,NA,scotland,aberdeenshire,doune
hired vehicle,hired vehicle,0,self-catering accommodation,357,450,5,good,good,not interested in social programme,average,good,good,no,no,NA,other uk,NA,st fillans/blair athol/faskelly
own vehicle,own vehicle,0,self-catering accommodation,1000,1000,2,excellent,excellent,good,NA,excellent,average,yes,yes,good,scotland,fife,comrie
own vehicle,own vehicle,0,self-catering accommodation,500,30,4,excellent,excellent,not interested in social programme,excellent,excellent,excellent,some days,yes,good,scotland,somerset,dunblane
own vehicle,own vehicle,0,self-catering accommodation,800,50,4,excellent,excellent,not interested in social programme,excellent,average,average,no,no,NA,other europe,NA,muthill
own vehicle,own vehicle,0,event campsite (comrie croft),500,30,4,average,good,not interested in social programme,NA,good,excellent,some days,yes,good,other uk,NA,crieff
shared private vehicle,shared private vehicle,0,other camping / caravan site,360,150,3,excellent,excellent,not interested in social programme,NA,excellent,excellent,some days,no,NA,rest of the world,NA,travel lodge perth
own vehicle,own vehicle,0,event campsite (comrie croft),1000,1000,2,good,good,good,NA,good,good,some days,yes,good,other uk,NA,comrie
hired vehicle,hired vehicle,0,hotel,2,50,10,good,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,excellent,scotland,edinburgh,comrie & inver mill
own vehicle,own vehicle,0,self-catering accommodation,700,0,10,good,good,not interested in social programme,good,average,average,some days,yes,good,other uk,NA,aberfeldy
own vehicle,own vehicle,0,hotel,120,140,6,excellent,good,not interested in social programme,good,excellent,excellent,some days,no,NA,scotland,west lothian,comrie croft
air,hired vehicle,0,self-catering accommodation,272,60,1,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,excellent,other uk,NA,at home (dunblane)
own vehicle,own vehicle,0,self-catering accommodation,270,60,3,average,good,not interested in social programme,NA,excellent,good,some days,no,NA,other uk,NA,"comrie, crieff"
rail,military car,0,self-catering accommodation,1000,1000,2,excellent,excellent,good,good,excellent,excellent,yes,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,1000,1000,2,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,yes,excellent,scotland,edinburgh,st fillans
own vehicle,own vehicle,0,event campsite (comrie croft),200,90,20,good,excellent,not interested in social programme,NA,excellent,excellent,some days,no,NA,other uk,NA,comrie croft
own vehicle,own vehicle,0,self-catering accommodation,640,100,2,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA,perth
own vehicle,own vehicle,0,self-catering accommodation,580,100,6,good,excellent,not interested in social programme,good,excellent,average,yes,no,NA,other europe,NA,perth
own vehicle,shared private vehicle,0,self-catering accommodation,500,30,4,excellent,good,not interested in social programme,NA,good,good,some days,yes,excellent,scotland,city of edinburgh,dunkeld
own vehicle,own vehicle,1,self-catering accommodation,1000,1000,2,excellent,good,not interested in social programme,excellent,good,good,no,no,NA,other uk,NA,aberfeldy
own vehicle,own vehicle,0,self-catering accommodation,1100,200,0,excellent,good,not interested in social programme,good,excellent,excellent,yes,no,NA,other uk,NA,stirling
bus (multiple),event bus,6,event campsite (comrie croft),150,150,3,good,good,not interested in social programme,good,average,average,some days,no,NA,other uk,NA,comrie croft
own vehicle,own vehicle,0,guest house / b+b,160,80,4,excellent,excellent,excellent,NA,excellent,excellent,yes,no,NA,scotland,aberdeenshire,"crieff (hotel), a friend near 5 miles away from day , dunkeld (hotel), aberfeldy (hotel), stayed with family"
own vehicle,own vehicle,0,at home,0,75,7,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other uk,NA,comrie
own vehicle,event bus,4,other camping / caravan site,860,120,6,average,good,average,NA,excellent,excellent,no,no,NA,other uk,NA,ballinluig
own vehicle,own vehicle,0,self-catering accommodation,790,240,21,excellent,good,not interested in social programme,good,excellent,excellent,yes,no,NA,other uk,NA,workington
own vehicle,event bus,5,event campsite (comrie croft),250,150,1,excellent,excellent,excellent,good,average,excellent,some days,no,NA,other uk,NA,lawers locherbie
own vehicle,shared private vehicle,0,self-catering accommodation,600,200,22,excellent,good,good,average,good,good,no,yes,good,other uk,NA,crieff
"bus, train",own vehicle,0,self-catering accommodation,500,30,4,excellent,excellent,average,NA,good,good,some days,yes,poor,scotland,aberdeenshire,did not travel
own vehicle,own vehicle,0,self-catering accommodation,1800,60,14,excellent,good,not interested in social programme,NA,good,good,yes,no,NA,other uk,NA,crieff
own vehicle,own vehicle,1,with friends / relatives,200,90,20,excellent,excellent,excellent,average,excellent,good,no,yes,average,scotland,highland,buchanty/tulchan
own vehicle,own vehicle,0,self-catering accommodation,488,120,10,good,good,not interested in social programme,NA,excellent,good,no,no,NA,other europe,NA,"comrie croft, perth"
own vehicle,own vehicle,0,hotel,90,100,16,excellent,excellent,average,NA,good,excellent,yes,yes,average,other uk,NA,"auchterarder, perth"
hired vehicle,hired vehicle,0,self-catering accommodation,500,30,4,excellent,excellent,not interested in social programme,average,good,good,no,no,NA,other uk,NA,killin
own vehicle,own vehicle,0,event campsite (comrie croft),70,6,0,excellent,excellent,excellent,excellent,excellent,average,some days,no,NA,other uk,NA,"comrie croft, stirling, grandtully"
own vehicle,own vehicle,0,at home,250,150,1,excellent,excellent,not interested in social programme,good,excellent,good,some days,no,NA,other uk,NA,crieff
rail,event bus,7,other camping / caravan site,80,70,2,good,average,not interested in social programme,NA,average,average,some days,no,NA,other uk,NA,killin
own vehicle,own vehicle,0,at home,560,60,14,good,good,average,NA,good,poor,some days,no,NA,other uk,NA,dunblane
own vehicle,event bus,6,event campsite (comrie croft),502,80,1,excellent,excellent,good,NA,average,good,yes,yes,good,other uk,NA,glenalmond
own vehicle,own vehicle,0,event campsite (comrie croft),600,200,22,average,average,not interested in social programme,good,good,good,yes,yes,average,other uk,NA,gargunnock
own vehicle,own vehicle,0,event campsite (comrie croft),150,150,3,excellent,excellent,good,NA,average,good,no,yes,average,other uk,NA,crieff
own vehicle,event bus,4,event campsite (comrie croft),195,70,13,good,excellent,good,good,excellent,excellent,some days,no,NA,scotland,edinburgh,perth
own vehicle,own vehicle,0,self-catering accommodation,1200,100,7,excellent,excellent,good,NA,excellent,excellent,yes,yes,good,other europe,NA,moneydie
own vehicle,shared private vehicle,0,self-catering accommodation,357,450,5,excellent,good,not interested in social programme,NA,excellent,good,no,no,NA,other uk,NA,stirling
hired vehicle,hired vehicle,0,other camping / caravan site,700,0,10,excellent,good,not interested in social programme,good,good,excellent,yes,no,NA,other uk,NA,"6 nights comrie, followed by 4 nights pilochry"
hired vehicle,hired vehicle,0,hotel,170,200,3,excellent,good,average,NA,excellent,excellent,some days,yes,good,other uk,NA,"glenfarg, bridge of earn"
own vehicle,own vehicle,0,event campsite (comrie croft),1500,1000,11,good,good,good,poor,average,average,some days,no,NA,other europe,NA,gilmerton
own vehicle,own vehicle,0,other camping / caravan site,800,50,4,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,excellent,other uk,NA,comrie
own vehicle,event bus,3,event campsite (comrie croft),300,100,6,excellent,excellent,good,good,good,excellent,yes,yes,good,other europe,NA,killin
own vehicle,event bus,3,event campsite (comrie croft),1300,60,15,good,good,good,NA,excellent,good,yes,yes,average,scotland,east dunbartonshire,aberfeldy
own vehicle,own vehicle,0,event campsite (comrie croft),160,80,4,excellent,good,not interested in social programme,NA,excellent,excellent,some days,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,good,good,average,good,good,no,yes,average,other uk,NA,crieff
own vehicle,own vehicle,0,other camping / caravan site,140,150,4,excellent,good,not interested in social programme,average,excellent,good,some days,no,NA,other uk,NA,st fillans
own vehicle,own vehicle,0,hotel,560,60,14,excellent,excellent,not interested in social programme,poor,average,average,some days,no,NA,scotland,south norfolk,comrie croft
own vehicle,event bus,3,other camping / caravan site,0,75,7,excellent,excellent,excellent,NA,excellent,excellent,some days,no,NA,other europe,NA,glasgow
own vehicle,own vehicle,0,self-catering accommodation,720,140,8,good,good,average,good,good,poor,no,no,NA,other uk,NA,loch katrine
own vehicle,own vehicle,0,self-catering accommodation,800,50,4,excellent,excellent,good,NA,excellent,excellent,yes,yes,excellent,other uk,NA,fearnan
own vehicle,own vehicle,0,self-catering accommodation,400,50,2,excellent,excellent,excellent,NA,good,good,no,no,NA,other uk,NA,crieff
own vehicle,event bus,4,other camping / caravan site,800,50,4,excellent,excellent,average,NA,good,excellent,yes,yes,good,other uk,NA,comrie croft
own vehicle,shared private vehicle,0,guest house / b+b,350,60,5,excellent,good,not interested in social programme,NA,good,average,some days,no,NA,other uk,NA,crieff 5 nights pitlochry 2 nights
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,good,good,not interested in social programme,average,good,average,no,no,NA,other uk,NA,comrie croft
own vehicle,own vehicle,0,other camping / caravan site,1000,1000,2,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,excellent,other uk,NA,crieff
own vehicle,own vehicle,0,self-catering accommodation,1300,60,15,excellent,average,not interested in social programme,excellent,average,poor,no,no,NA,other uk,NA,madderty
hired vehicle,hired vehicle,0,guest house / b+b,100,40,3,excellent,good,excellent,NA,good,excellent,yes,no,NA,scotland,walsall,crieff
own vehicle,own vehicle,0,other camping / caravan site,176,100,12,excellent,excellent,excellent,good,excellent,excellent,some days,no,NA,other uk,NA,aberfeldy
own vehicle,own vehicle,0,self-catering accommodation,400,50,2,excellent,excellent,excellent,good,excellent,excellent,yes,yes,excellent,other europe,NA,auchterarder
own vehicle,event bus,5,event campsite (comrie croft),250,150,1,good,good,excellent,good,average,average,some days,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,270,60,3,good,good,good,good,good,excellent,some days,no,NA,other uk,NA,crieff
own vehicle,own vehicle,0,self-catering accommodation,500,30,4,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,good,scotland,edinburgh,home
own vehicle,own vehicle,0,self-catering accommodation,450,250,1,excellent,excellent,not interested in social programme,NA,good,good,some days,yes,good,scotland,highland,stanley
own vehicle,own vehicle,0,self-catering accommodation,1800,60,14,excellent,excellent,not interested in social programme,good,good,good,yes,no,NA,other uk,NA,aberfeldy
own vehicle,own vehicle,0,self-catering accommodation,1e21,1e21,1e21,good,average,not interested in social programme,average,good,good,no,no,NA,other uk,NA,crieff
own vehicle,own vehicle,0,self-catering accommodation,450,250,1,excellent,average,not interested in social programme,NA,excellent,average,some days,no,NA,scotland,perth and kinross,comrie
own vehicle,event bus,5,event campsite (comrie croft),1000,1000,2,excellent,good,not interested in social programme,NA,good,excellent,some days,no,NA,other europe,NA,comrie
rail,own vehicle,0,self-catering accommodation,700,0,10,excellent,excellent,not interested in social programme,NA,good,excellent,yes,no,NA,other europe,NA,comrie croft
air,hired vehicle,0,self-catering accommodation,450,250,1,excellent,good,not interested in social programme,NA,excellent,excellent,yes,yes,excellent,scotland,renfrewshire,aberfeldy
own vehicle,own vehicle,0,with friends / relatives,60,60,6,excellent,excellent,excellent,excellent,excellent,good,some days,no,NA,other uk,NA,comrie
own vehicle,shared private vehicle,0,self-catering accommodation,1200,100,7,excellent,excellent,not interested in social programme,NA,excellent,good,some days,yes,good,rest of the world,NA,crieff and pitlochry
own vehicle,own vehicle,0,on a motorhome site,80,70,2,excellent,good,good,NA,good,good,yes,no,NA,scotland,edinburgh,crieff
own vehicle,own vehicle,0,self-catering accommodation,1000,1000,2,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,yes,good,other uk,NA,birnam
own vehicle,own vehicle,1,event campsite (comrie croft),260,100,8,excellent,good,excellent,excellent,excellent,excellent,no,no,NA,other uk,NA,comrie
air,hired vehicle,0,self-catering accommodation,700,0,10,good,good,not interested in social programme,good,average,good,yes,yes,good,other europe,NA,perth
own vehicle,own vehicle,0,event campsite (comrie croft),560,60,14,good,average,not interested in social programme,NA,good,excellent,no,no,NA,other uk,NA,perth
own vehicle,own vehicle,0,hotel,300,100,6,excellent,good,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA,dunblane
own vehicle,own vehicle,0,at home,200,90,20,good,excellent,excellent,good,excellent,excellent,yes,no,NA,other uk,NA,comrie croft
hired vehicle,hired vehicle,0,guest house / b+b,900,100,5,average,average,excellent,excellent,excellent,average,some days,no,NA,scotland,grampian,lochearnhead
air,hired vehicle,0,self-catering accommodation,600,200,22,good,good,good,good,good,good,yes,yes,good,scotland,lothian,crieff
own vehicle,own vehicle,0,at home,500,30,4,excellent,excellent,not interested in social programme,average,average,good,some days,no,NA,other europe,NA,lochearnhead
own vehicle,shared private vehicle,0,self-catering accommodation,800,50,4,excellent,excellent,good,good,excellent,average,no,no,NA,other uk,NA,lochearnhead
own vehicle,own vehicle,0,other camping / caravan site,215,50,20,excellent,excellent,excellent,NA,excellent,excellent,no,no,NA,other europe,NA,scone
own vehicle,own vehicle,0,other camping / caravan site,70,6,0,good,average,not interested in social programme,NA,average,poor,yes,no,NA,other uk,NA,comrie
did not travel,event bus,4,other camping / caravan site,372,200,0,good,average,not interested in social programme,NA,good,good,some days,yes,average,other uk,NA,"killin for first half, scone (perth) for second half"
own vehicle,own vehicle,0,other camping / caravan site,500,30,4,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,yes,excellent,scotland,edinburgh city,wigton
own vehicle,own vehicle,0,hotel,70,6,0,excellent,good,not interested in social programme,good,good,good,yes,no,NA,other uk,NA,scone
own vehicle,own vehicle,0,event campsite (comrie croft),30,100,5,good,good,average,NA,good,good,no,yes,average,other uk,NA,killin
own vehicle,own vehicle,0,self-catering accommodation,1800,60,14,excellent,good,not interested in social programme,NA,excellent,average,some days,no,NA,other uk,NA,crief
rail,event bus,6,event campsite (comrie croft),150,150,3,excellent,excellent,good,NA,good,good,some days,yes,good,scotland,moray,crieff.
own vehicle,own vehicle,0,self-catering accommodation,450,250,1,good,good,not interested in social programme,good,good,good,yes,no,NA,other europe,NA,luncarty
own vehicle,own vehicle,0,self-catering accommodation,700,0,10,good,good,good,good,good,good,yes,no,NA,other uk,NA,comrie croft campsite
shared private vehicle,shared private vehicle,0,self-catering accommodation,1000,1000,2,excellent,excellent,good,average,excellent,excellent,some days,yes,excellent,scotland,city of edinburgh,comrie
air,hired vehicle,0,self-catering accommodation,0,75,7,excellent,excellent,not interested in social programme,average,excellent,excellent,yes,no,NA,other uk,NA,crieff
own vehicle,own vehicle,0,at home,760,120,6,excellent,excellent,good,good,good,excellent,some days,no,NA,other uk,NA,skelmersdale
own vehicle,shared private vehicle,0,event campsite (comrie croft),290,50,7,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other uk,NA,"tibbermore, near perth"
hired vehicle,hired vehicle,3,self-catering accommodation,2200,150,2,good,good,not interested in social programme,NA,average,good,yes,no,NA,other uk,NA,perth
own vehicle,own vehicle,0,hotel,470,100,10,excellent,excellent,excellent,good,excellent,excellent,no,no,NA,other uk,NA,dunblane
own vehicle,own vehicle,0,camper van at 2 different locations,0,75,7,excellent,excellent,excellent,NA,excellent,excellent,yes,no,NA,other uk,NA,dunblane
own vehicle,own vehicle,0,self-catering accommodation,400,50,2,excellent,excellent,not interested in social programme,NA,excellent,average,no,yes,excellent,other uk,NA,comrie
own vehicle,event bus,6,self-catering accommodation,700,0,10,excellent,good,not interested in social programme,excellent,excellent,good,no,no,NA,other uk,NA,crieff
own vehicle,shared private vehicle,0,at home,280,200,0,good,good,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA,lochearnhead
own vehicle,own vehicle,0,self-catering accommodation,2000,100,14,excellent,good,average,NA,good,good,yes,no,NA,other uk,NA,gleneagles
own vehicle,own vehicle,0,with friends / relatives,50,50,4,excellent,excellent,excellent,excellent,excellent,good,some days,no,NA,other uk,NA,perth
own vehicle,event bus,5,other camping / caravan site,700,0,10,excellent,excellent,excellent,NA,excellent,excellent,no,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,event campsite (comrie croft),70,6,0,excellent,excellent,good,NA,excellent,excellent,no,no,NA,scotland,moray,loch tay lodges
own vehicle,cycle,0,other camping / caravan site,500,30,4,excellent,good,not interested in social programme,NA,good,good,some days,yes,good,scotland,edinburgh,st fillans
military car,cycle,0,event campsite (comrie croft),590,100,0,average,good,good,NA,good,good,yes,yes,good,other uk,NA,crieff
own vehicle,shared private vehicle,0,self-catering accommodation,800,50,4,excellent,excellent,excellent,average,good,good,some days,yes,average,scotland,borders,amulree
own vehicle,own vehicle and cycle,0,event campsite (comrie croft),0,75,7,excellent,good,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA,killin
hired vehicle,hired vehicle,0,self-catering accommodation,0,75,7,excellent,excellent,excellent,good,good,good,some days,no,NA,scotland,stirling,killin
own vehicle,shared private vehicle,0,hotel,100,40,3,excellent,excellent,not interested in social programme,NA,excellent,good,yes,no,NA,other uk,NA,calender
air,hired vehicle,0,self-catering accommodation,610,50,16,excellent,good,not interested in social programme,NA,excellent,excellent,yes,yes,excellent,other europe,NA,crieff
own vehicle,event bus,4,event campsite (comrie croft),560,60,14,excellent,excellent,not interested in social programme,NA,excellent,good,yes,no,NA,scotland,edinburgh,comrie
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,good,average,NA,good,excellent,some days,yes,poor,other uk,NA,dunkeld
own vehicle,"3 days cycle (near event campsite), 3 days car",0,event campsite (comrie croft),20,40,1,excellent,excellent,not interested in social programme,average,excellent,excellent,some days,no,NA,other uk,NA,dunning
own vehicle,own vehicle,0,self-catering accommodation,3600,0,10,excellent,good,not interested in social programme,good,average,average,no,no,NA,other uk,NA,callandar
own vehicle,own vehicle,0,self-catering accommodation,500,30,4,good,good,not interested in social programme,good,good,good,some days,no,NA,scotland,colchester,crieff
bus,event bus,5,event campsite (comrie croft),150,150,3,excellent,excellent,excellent,good,good,excellent,yes,no,NA,other uk,NA,"comrie, aberfeldy"
air,hired vehicle,0,self-catering accommodation,850,40,4,excellent,excellent,not interested in social programme,average,excellent,excellent,yes,no,NA,other uk,NA,killin and dunkeld
own vehicle,event bus,4,event campsite (comrie croft),0,75,7,excellent,good,good,NA,excellent,excellent,no,no,NA,other uk,NA,killin
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,good,average,not interested in social programme,NA,average,average,no,no,NA,other uk,NA,glendevon
own vehicle,shared private vehicle,0,self-catering accommodation,450,250,1,good,good,not interested in social programme,NA,excellent,good,some days,no,NA,other uk,NA,callander
own vehicle,event bus,3,event campsite (comrie croft),500,30,4,good,good,good,average,average,average,some days,no,NA,scotland,east dunbartonshire,perth
own vehicle,own vehicle,0,self-catering accommodation,100,40,3,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,other europe,NA,strathyre
own vehicle,own vehicle,0,at home,300,100,6,excellent,excellent,not interested in social programme,good,excellent,excellent,some days,no,NA,other uk,NA,"crieff, dunkeld"
own vehicle,event bus,4,event campsite (comrie croft),100,40,3,good,good,not interested in social programme,NA,average,excellent,no,no,NA,other uk,NA,st fillans
own vehicle,shared private vehicle,0,with friends / relatives,1200,100,7,excellent,excellent,excellent,NA,good,average,some days,yes,average,scotland,stirling,crieff
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,good,average,not interested in social programme,NA,good,average,some days,yes,average,scotland,east ayrshire,killin
